
============================================================
[AUTO-GA] Starting: exp_same_equal_v2
Command: C:\Users\perve\AppData\Local\Programs\Python\Python313\python.exe C:\Users\perve\Desktop\Algoritmet-e-inspiruara-nga-natyra\AA_25-26-main\AA_25-26-main\ga_experiment.py --runs 10 --total-time 5100.0 --time-buffer 0 --population-size 50 --mutation-rate 0.30 --stagnation-limit 20 --min-runtime-before-stop 0 --max-instance-time 300.0 --clean-output --experiment-name exp_same_equal_v2 --profile single --time-profile equal
============================================================
Run 6 | usa_tv_input.json | time=300.0s | left=4771.8s
Run 6 | us_iptv.json | time=300.0s | left=4754.0s
Run 6 | youtube_gold.json | time=300.0s | left=4645.2s
Run 6 | youtube_premium.json | time=300.0s | left=4344.6s
Run 7 | australia_iptv.json | time=300.0s | left=5100.0s
Run 7 | canada_pw.json | time=300.0s | left=5046.8s
Run 7 | china_pw.json | time=300.0s | left=5008.4s
Run 7 | croatia_tv_input.json | time=300.0s | left=4976.8s
Run 7 | france_iptv.json | time=300.0s | left=4973.6s
Run 7 | germany_tv_input.json | time=300.0s | left=4902.2s
Run 7 | kosovo_tv_input.json | time=300.0s | left=4899.6s
Run 7 | netherlands_tv_input.json | time=300.0s | left=4896.4s
Run 7 | singapore_pw.json | time=300.0s | left=4892.8s
Run 7 | spain_iptv.json | time=300.0s | left=4881.7s
Run 7 | toy.json | time=300.0s | left=4856.6s
Run 7 | uk_iptv.json | time=300.0s | left=4856.0s
Run 7 | uk_tv_input.json | time=300.0s | left=4811.4s
Run 7 | usa_tv_input.json | time=300.0s | left=4807.1s
Run 7 | us_iptv.json | time=300.0s | left=4787.6s
Run 7 | youtube_gold.json | time=300.0s | left=4686.3s
Run 7 | youtube_premium.json | time=300.0s | left=4385.7s
Run 8 | australia_iptv.json | time=300.0s | left=5100.0s
Run 8 | canada_pw.json | time=300.0s | left=5044.6s
Run 8 | china_pw.json | time=300.0s | left=5007.5s
Run 8 | croatia_tv_input.json | time=300.0s | left=4978.9s
Run 8 | france_iptv.json | time=300.0s | left=4975.6s
Run 8 | germany_tv_input.json | time=300.0s | left=4888.7s
Run 8 | kosovo_tv_input.json | time=300.0s | left=4886.2s
Run 8 | netherlands_tv_input.json | time=300.0s | left=4883.0s
Run 8 | singapore_pw.json | time=300.0s | left=4879.5s
Run 8 | spain_iptv.json | time=300.0s | left=4868.4s
Run 8 | toy.json | time=300.0s | left=4841.6s
Run 8 | uk_iptv.json | time=300.0s | left=4841.0s
Run 8 | uk_tv_input.json | time=300.0s | left=4787.7s
Run 8 | usa_tv_input.json | time=300.0s | left=4783.2s
Run 8 | us_iptv.json | time=300.0s | left=4764.2s
Run 8 | youtube_gold.json | time=300.0s | left=4640.9s
Run 8 | youtube_premium.json | time=300.0s | left=4340.1s
Run 9 | australia_iptv.json | time=300.0s | left=5100.0s
Run 9 | canada_pw.json | time=300.0s | left=5050.8s
Run 9 | china_pw.json | time=300.0s | left=5018.9s
Run 9 | croatia_tv_input.json | time=300.0s | left=5001.3s
Run 9 | france_iptv.json | time=300.0s | left=4998.1s
Run 9 | germany_tv_input.json | time=300.0s | left=4946.7s
Run 9 | kosovo_tv_input.json | time=300.0s | left=4945.3s
Run 9 | netherlands_tv_input.json | time=300.0s | left=4943.7s
Run 9 | singapore_pw.json | time=300.0s | left=4942.0s
Run 9 | spain_iptv.json | time=300.0s | left=4935.4s
Run 9 | toy.json | time=300.0s | left=4922.9s
Run 9 | uk_iptv.json | time=300.0s | left=4922.6s
Run 9 | uk_tv_input.json | time=300.0s | left=4897.9s
Run 9 | usa_tv_input.json | time=300.0s | left=4895.2s
Run 9 | us_iptv.json | time=300.0s | left=4885.7s
Run 9 | youtube_gold.json | time=300.0s | left=4834.6s
Run 9 | youtube_premium.json | time=300.0s | left=4534.0s
Run 10 | australia_iptv.json | time=300.0s | left=5100.0s
Run 10 | canada_pw.json | time=300.0s | left=5078.3s
Run 10 | china_pw.json | time=300.0s | left=5064.8s
Run 10 | croatia_tv_input.json | time=300.0s | left=5052.5s
Run 10 | france_iptv.json | time=300.0s | left=5051.3s
Run 10 | germany_tv_input.json | time=300.0s | left=5013.9s
Run 10 | kosovo_tv_input.json | time=300.0s | left=5012.9s
Run 10 | netherlands_tv_input.json | time=300.0s | left=5011.7s
Run 10 | singapore_pw.json | time=300.0s | left=5010.4s
Run 10 | spain_iptv.json | time=300.0s | left=5006.9s
Run 10 | toy.json | time=300.0s | left=4999.1s
Run 10 | uk_iptv.json | time=300.0s | left=3709.6s
Run 10 | uk_tv_input.json | time=300.0s | left=3597.5s
Run 10 | usa_tv_input.json | time=300.0s | left=3586.4s
Run 10 | us_iptv.json | time=300.0s | left=3532.0s
